Warszawa,mazowieckie,52.2337171,21.0714155
Kraków,małopolskie,50.0469101,19.9970637
Morze,podlaskie,52.5144565,22.7356204
Wrocław,dolnośląskie,51.1263106,16.9781963
Poznań,wielkopolskie,52.4006521,16.919752
Gdańsk,pomorskie,54.3614302,18.6282333
Łódź,łódzkie,51.7730575,19.4783822
Szczecin,zachodniopomorskie,53.4296828,14.5929081
Lublin,lubelskie,51.2181945,22.5546775
Katowice,śląskie,50.213732,19.0058877
Białystok,podlaskie,53.127505,23.1470508
Bydgoszcz,kujawsko-pomorskie,53.1297462,18.0293696
Toruń,kujawsko-pomorskie,53.0145361,18.5965831
Olsztyn,warmińsko-mazurskie,53.7769533,20.4778597
Kiczyce,śląskie,49.8364391,18.7795302
Kielce,świętokrzyskie,50.8540358,20.6099143
Gdynia,pomorskie,54.5036632,18.4626495
Rzeszów,podkarpackie,50.0054404,21.9913949
Częstochowa,śląskie,50.8089996,19.1244089
Opole,opolskie,50.6787929,17.9298844
Zakopane,małopolskie,49.2757934,19.969281
Ruda Śląska,śląskie,50.3137907,18.8529848
Radom,mazowieckie,51.4172144,21.160973
Kalisz,wielkopolskie,51.747365,18.07959
Przemyśl,podkarpackie,49.7835552,22.7885113
Bielsko-Biała,śląskie,49.8120784,19.0291987
Płock,mazowieckie,52.5353471,19.7136302
Chorzów,śląskie,50.2885562,18.9704425
Gliwice,śląskie,50.3011314,18.6623472
Elbląg,warmińsko-mazurskie,54.1986368,19.441144
Tarnów,małopolskie,50.0259883,20.9640584
Bytom,śląskie,50.3657431,18.8715325
Legnica,dolnośląskie,51.204746,16.1746744
Słupsk,pomorskie,54.4605708,17.02773
Gniezno,wielkopolskie,52.524155,17.5978518
Sopot,pomorskie,54.441909,18.5430944
Zamość,lubelskie,50.7212729,23.2595886
Zabrze,śląskie,50.3142805,18.7815763
Sosnowiec,śląskie,50.2712295,19.2155619
Siedlce,dolnośląskie,51.3987253,16.3069701
Siedlce,mazowieckie,52.1615938,22.2812532
Kołobrzeg,zachodniopomorskie,54.1755187,15.5770525
Cieszyn,śląskie,49.7557763,18.6562932
Włocławek,kujawsko-pomorskie,52.6655635,19.0961297
Suwałki,podlaskie,54.1027124,22.9318782
Chełm,lubelskie,51.1355882,23.4939369
Grudziądz,kujawsko-pomorskie,53.4725119,18.7618936
Leszno,wielkopolskie,51.8436067,16.5804218
Rybnik,śląskie,50.110569,18.5531873
Racibórz,śląskie,50.0903751,18.215137
Łomża,podlaskie,53.1824306,22.0521838
Oświęcim,małopolskie,50.0336707,19.2600798
Malbork,pomorskie,54.0287383,19.0393963
Świnoujście,zachodniopomorskie,53.8475435,14.3257108
Kłodzko,dolnośląskie,50.4337117,16.6422465
Wałbrzych,dolnośląskie,50.785221,16.2846403
Sanok,podkarpackie,49.5567406,22.2117016
Tychy,śląskie,50.126498,19.0067845
Głogów,dolnośląskie,51.6701928,16.0614036
Ostrołęka,mazowieckie,53.0780311,21.5748682
Konin,wielkopolskie,52.255902,18.2678662
Piła,wielkopolskie,53.1347194,16.7527176
Stargard,zachodniopomorskie,53.3089774,15.0316459
Krosno,podkarpackie,49.6887565,21.7534047
Skaleniec,łódzkie,51.2959881,18.7830896
Łaszew Rządowy,łódzkie,51.1250104,18.689637
Źródła,łódzkie,51.0998081,18.7211341
Działoszyn,łódzkie,51.1127092,18.8782327
Krzeczów,łódzkie,51.183319,18.7602198
Drobnice,łódzkie,51.2198647,18.7883657
Przywóz,łódzkie,51.1276604,18.7080968
Mierzyce,łódzkie,51.1278672,18.7024272
Sieradz,łódzkie,51.6042517,18.763715
Konopnica,łódzkie,51.343263,18.8144412
Zielona Góra,lubuskie,51.9276631,15.5490054
Inowrocław,kujawsko-pomorskie,52.781722,18.2462147
Mysłowice,śląskie,50.2096333,19.132775
Świętochłowice,śląskie,50.2989445,18.9074662
Jaworzno,śląskie,50.1894998,19.2725111
Skierniewice,łódzkie,51.958028,20.1447977
Gorzów Wielkopolski,lubuskie,52.7305755,15.2107553
Ciechanów,mazowieckie,52.8712044,20.6062459
Tczew,pomorskie,54.0908767,18.7779486
Żagań,lubuskie,51.6153231,15.3007806
Puławy,lubelskie,51.4262597,21.9853014
Piotrków Trybunalski,łódzkie,51.4125933,19.6886346
Nysa,opolskie,50.4737587,17.3364621
Augustów,podlaskie,53.8449595,23.0183545
Kutno,łódzkie,52.2220021,19.387595
Chełmno,kujawsko-pomorskie,53.3525028,18.4404247
Chojnice,pomorskie,53.6999477,17.5703522
Bochnia,małopolskie,49.9746842,20.4253291
